customer_id,first_name,last_name,email,phone,date_of_birth,age,gender,province,city,postal_code,customer_since,credit_score,has_auto_policy,has_home_policy,premium_tier
CUS000001,Danielle,Johnson,john21@example.net,(419) 600-1338 x908,1982-09-27,43,F,NS,Robinsonshire,A6H5S3,2014-03-27,611,True,True,Gold
CUS000002,Kathryn,Garcia,wdavis@example.net,1-607-816-1849,1971-08-07,54,M,BC,North Donnaport,K5E 8R6,2013-06-13,725,False,False,Bronze
CUS000003,Michael,Santiago,lynchgeorge@example.net,(127) 648-3503,1992-10-29,33,M,ON,Adamsborough,J8V3R5,2013-02-07,490,True,False,Bronze
CUS000004,Julie,Ryan,zhurst@example.com,(228) 710-1226,1987-05-29,38,M,ON,Riceside,E6Y 2L5,2017-07-05,776,False,True,Silver
CUS000005,Shawn,Mckay,teresa28@example.org,1-689-325-2880,1971-07-06,54,F,ON,West Natashaport,B2K 8C2,2025-08-12,651,True,False,Silver
CUS000006,Amanda,Martinez,karroyo@example.com,(496) 383-4657 x871,1996-03-31,29,M,QC,Andrewside,K1A 4C2,2024-07-12,775,False,True,Silver
CUS000007,Michele,Jones,joshuawashington@example.net,799 737 6311,1986-05-18,39,F,QC,Owenston,B2R 4N4,2013-11-10,717,False,True,Bronze
CUS000008,Shane,Henderson,steven17@example.net,408.013.2677,2001-11-20,24,M,ON,East Nicholasfurt,T9M8S3,2013-11-08,770,True,False,Silver
CUS000009,Jeff,Brown,adkinsbrian@example.net,288-208-1219 x136,1987-12-18,38,M,QC,New Brooke,S5X 4N6,2014-08-01,746,True,False,Bronze
CUS000010,Randy,Powers,stephen10@example.com,618.384.2513,1983-04-23,42,F,ON,Bassport,Y3M 5E2,2024-04-18,771,True,True,Bronze
CUS000011,Julia,Moore,cassandra53@example.net,1-687-401-6400,1986-10-17,39,F,ON,Evanmouth,Y2A3E9,2011-07-24,766,True,True,Silver
CUS000012,Mike,Tran,tanderson@example.com,453-315-8692,1962-11-20,63,F,QC,South Angel,S3K2L7,2024-01-13,723,True,False,Silver
CUS000013,Michele,Walker,ybailey@example.org,(703) 654-1458,2004-09-13,21,M,ON,Sheilaville,H2L7B6,2021-11-21,586,True,False,Bronze
CUS000014,Lee,Obrien,cruzbarbara@example.com,660-883-5615,1981-09-08,44,M,AB,Lake Rachelhaven,S5N9R3,2013-11-19,783,True,True,Bronze
CUS000015,Elizabeth,Gray,christinaturner@example.net,844-369-9577,1947-09-12,78,F,AB,Leonburgh,M2X 4N5,2014-05-17,720,True,False,Silver
CUS000016,James,Johnson,traceycarr@example.org,369-367-6320 x163,1958-10-29,67,M,MB,Williamsbury,T9G 9T6,2025-03-12,725,True,True,Silver
CUS000017,Patricia,Salazar,jrivas@example.com,877 434 8734,1957-02-06,68,M,MB,Jimmymouth,Y3C4G7,2021-05-17,487,True,True,Bronze
CUS000018,Jasmine,Brown,drivera@example.com,636-690-9670,1946-04-27,79,F,ON,Castanedachester,V7K 8L1,2016-10-27,727,True,True,Platinum
CUS000019,Elizabeth,Yates,marycalhoun@example.net,(706) 990-1627 x204,1944-05-07,81,F,ON,Murphyfurt,S8L1C9,2011-10-19,614,True,False,Silver
CUS000020,Stephanie,Walker,harringtondenise@example.org,(430) 923-2719,2000-06-27,25,F,ON,Katieburgh,H1M 5E7,2016-12-09,620,True,True,Silver
CUS000021,Jennifer,Jones,curtisbarton@example.net,190.586.5185,1942-11-15,83,F,ON,Garciastad,G9S5H9,2022-07-31,637,True,True,Silver
CUS000022,Steven,Petersen,marcus31@example.com,637-996-5075 x273,1969-10-27,56,M,QC,Joshuaview,X4J 7C8,2019-04-22,761,False,True,Bronze
CUS000023,John,Alvarez,bwest@example.org,1-636-349-5788,2002-06-13,23,F,QC,Michaelmouth,M2L4K6,2012-10-21,700,True,False,Bronze
CUS000024,Amanda,Gill,jamesrodgers@example.com,(594) 134-3524 x082,1966-01-25,59,F,QC,New Kellyberg,E8A8M8,2016-02-08,670,True,True,Bronze
CUS000025,Tammy,King,ewilson@example.com,419-022-9413 x186,1947-10-19,78,M,MB,Hayesmouth,S2M4B4,2014-12-21,783,True,False,Bronze
CUS000026,Christopher,Allen,moorericky@example.net,240-344-7134 x936,1998-07-26,27,F,MB,West Margaret,B5H 8M2,2018-01-05,742,True,True,Bronze
CUS000027,Kevin,Powell,vincent77@example.org,165-940-1399,1965-01-08,61,F,MB,Barbaraburgh,X3T7L8,2025-06-24,749,True,True,Gold
CUS000028,Theodore,Ortiz,elizabeth25@example.com,146-807-1545 x168,1970-09-06,55,M,ON,Gutierrezborough,V4T5B9,2012-12-22,797,True,True,Bronze
CUS000029,Keith,Gilmore,omartinez@example.net,(824) 808-6131,1974-12-20,51,F,BC,South Sarah,X8L8S4,2017-11-02,758,True,True,Silver
CUS000030,Duane,Lee,michellehill@example.com,1 (884) 044-9972,1968-07-24,57,F,AB,Martinside,T4N7J4,2023-10-17,623,True,True,Silver
CUS000031,Robert,Flores,zthornton@example.com,+1 (227) 028-9517,1988-07-19,37,Other,ON,Smithberg,G5C6V7,2020-09-18,770,True,False,Silver
CUS000032,Melissa,Phelps,ofinley@example.net,380-913-4316 x117,1972-09-19,53,M,QC,North Markton,P3P4S9,2017-03-03,680,True,True,Bronze
CUS000033,Erin,White,christianpitts@example.net,(879) 237-4740,1968-12-03,57,F,ON,North Scott,M8S5L4,2025-12-06,690,False,False,Gold
